route_id,stop_id,stop_name,stop_lat,stop_lon,coords,geometry,index_right,shape_area,ntaname,cdtaname,shape_leng,boroname,ntatype,nta2020,borocode,countyfips,ntaabbrev,cdta2020,cluster,hdbscan_cluster,louvain_community
MTA NYCT_Q1,MTA_500002,165 ST/HILLSIDE AV,40.709146,-73.797156,"(40.709146, -73.797156)",POINT (-73.797156 40.709146),215.0,46824594.0674,Jamaica,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),41771.9327189,Queens,0,QN1201,4,081,Jmca,QN12,0,0,2.0
MTA NYCT_Q1,MTA_500004,HILLSIDE AV/171 ST,40.71144,-73.790887,"(40.71144, -73.790887)",POINT (-73.790887 40.71144),215.0,46824594.0674,Jamaica,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),41771.9327189,Queens,0,QN1201,4,081,Jmca,QN12,0,0,3.0
MTA NYCT_Q1,MTA_500007,HILLSIDE AV/180 ST,40.712872,-73.782724,"(40.712872, -73.782724)",POINT (-73.782724 40.712872),215.0,46824594.0674,Jamaica,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),41771.9327189,Queens,0,QN1201,4,081,Jmca,QN12,0,0,3.0
MTA NYCT_Q1,MTA_500008,HILLSIDE AV/182 PL,40.713574,-73.77985,"(40.713574, -73.77985)",POINT (-73.77985 40.713574),215.0,46824594.0674,Jamaica,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),41771.9327189,Queens,0,QN1201,4,081,Jmca,QN12,0,0,3.0
MTA NYCT_Q1,MTA_500009,HILLSIDE AV/184 ST,40.714085,-73.777516,"(40.714085, -73.777516)",POINT (-73.777516 40.714085),215.0,46824594.0674,Jamaica,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),41771.9327189,Queens,0,QN1201,4,081,Jmca,QN12,0,0,3.0
MTA NYCT_Q1,MTA_500010,HILLSIDE AV/187 ST,40.714481,-73.775904,"(40.714481, -73.775904)",POINT (-73.775904 40.714481),220.0,24469310.6665,Hollis,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),22923.7448267,Queens,0,QN1206,4,081,Hlls,QN12,0,0,3.0
MTA NYCT_Q1,MTA_500011,HILLSIDE AV/189 ST,40.715309,-73.772827,"(40.715309, -73.772827)",POINT (-73.772827 40.715309),220.0,24469310.6665,Hollis,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),22923.7448267,Queens,0,QN1206,4,081,Hlls,QN12,0,0,3.0
MTA NYCT_Q1,MTA_500012,HILLSIDE AV/191 ST,40.716032,-73.770711,"(40.716032, -73.770711)",POINT (-73.770711 40.716032),220.0,24469310.6665,Hollis,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),22923.7448267,Queens,0,QN1206,4,081,Hlls,QN12,0,0,3.0
MTA NYCT_Q1,MTA_500013,HILLSIDE AV/193 ST,40.716736,-73.768676,"(40.716736, -73.768676)",POINT (-73.768676 40.716736),220.0,24469310.6665,Hollis,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),22923.7448267,Queens,0,QN1206,4,081,Hlls,QN12,0,0,3.0
MTA NYCT_Q1,MTA_500014,HILLSIDE AV/195 PL,40.717362,-73.767011,"(40.717362, -73.767011)",POINT (-73.767011 40.717362),220.0,24469310.6665,Hollis,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),22923.7448267,Queens,0,QN1206,4,081,Hlls,QN12,0,0,3.0
MTA NYCT_Q1,MTA_500017,HILLSIDE AV/202 ST,40.719903,-73.762044,"(40.719903, -73.762044)",POINT (-73.762044 40.719903),220.0,24469310.6665,Hollis,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),22923.7448267,Queens,0,QN1206,4,081,Hlls,QN12,0,0,0.0
MTA NYCT_Q1,MTA_500018,HILLSIDE AV/FRANCIS LEWIS BLVD,40.720923,-73.759535,"(40.720923, -73.759535)",POINT (-73.759535 40.720923),220.0,24469310.6665,Hollis,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),22923.7448267,Queens,0,QN1206,4,081,Hlls,QN12,0,0,0.0
MTA NYCT_Q1,MTA_500019,HILLSIDE AV/207 ST,40.721724,-73.7583,"(40.721724, -73.7583)",POINT (-73.7583 40.721724),223.0,69655554.2552,Queens Village,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),37292.3123528,Queens,0,QN1303,4,081,QnsVlg,QN13,0,0,0.0
MTA NYCT_Q1,MTA_500022,HILLSIDE AV/212 ST,40.724847,-73.7537,"(40.724847, -73.7537)",POINT (-73.7537 40.724847),223.0,69655554.2552,Queens Village,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),37292.3123528,Queens,0,QN1303,4,081,QnsVlg,QN13,0,0,0.0
MTA NYCT_Q1,MTA_500023,HILLSIDE AV/214 ST,40.726134,-73.751315,"(40.726134, -73.751315)",POINT (-73.751315 40.726134),223.0,69655554.2552,Queens Village,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),37292.3123528,Queens,0,QN1303,4,081,QnsVlg,QN13,0,0,0.0
MTA NYCT_Q1,MTA_500024,HILLSIDE AV/215 PL,40.727252,-73.748964,"(40.727252, -73.748964)",POINT (-73.748964 40.727252),223.0,69655554.2552,Queens Village,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),37292.3123528,Queens,0,QN1303,4,081,QnsVlg,QN13,0,0,0.0
MTA NYCT_Q1,MTA_500025,HILLSIDE AV/218 ST,40.728342,-73.7469,"(40.728342, -73.7469)",POINT (-73.7469 40.728342),223.0,69655554.2552,Queens Village,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),37292.3123528,Queens,0,QN1303,4,081,QnsVlg,QN13,0,0,0.0
MTA NYCT_Q1,MTA_500026,HILLSIDE AV/SPRINGFIELD BLVD,40.729615,-73.744606,"(40.729615, -73.744606)",POINT (-73.744606 40.729615),223.0,69655554.2552,Queens Village,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),37292.3123528,Queens,0,QN1303,4,081,QnsVlg,QN13,0,0,0.0
MTA NYCT_Q1,MTA_500027,SPRINGFIELD BLVD/89 AV,40.729077,-73.744034,"(40.729077, -73.744034)",POINT (-73.744034 40.729077),223.0,69655554.2552,Queens Village,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),37292.3123528,Queens,0,QN1303,4,081,QnsVlg,QN13,0,0,1.0
MTA NYCT_Q1,MTA_500028,SPRINGFIELD BLVD/90 AV,40.726543,-73.741343,"(40.726543, -73.741343)",POINT (-73.741343 40.726543),223.0,69655554.2552,Queens Village,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),37292.3123528,Queens,0,QN1303,4,081,QnsVlg,QN13,0,0,1.0
MTA NYCT_Q1,MTA_500029,SPRINGFIELD BLVD/91 AV,40.725407,-73.740139,"(40.725407, -73.740139)",POINT (-73.740139 40.725407),223.0,69655554.2552,Queens Village,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),37292.3123528,Queens,0,QN1303,4,081,QnsVlg,QN13,0,0,1.0
MTA NYCT_Q1,MTA_500030,SPRINGFIELD BLVD/92 AV,40.724292,-73.738949,"(40.724292, -73.738949)",POINT (-73.738949 40.724292),223.0,69655554.2552,Queens Village,QN13 Queens Village-Bellerose-Rosedale (CD 13 Approximation),37292.3123528,Queens,0,QN1303,4,081,QnsVlg,QN13,0,0,1.0
